IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9893711248892826, 0.9654278305963699, 0.9772528433945756, 0.7871907917664812, 0.6381672523073293, 2.644250686235306, 2.8722049401853047, 40.0, 12.0, 1117.0
0.55, 0.9893711248892826, 0.9654278305963699, 0.9772528433945756, 0.7871907917664812, 0.6381672523073293, 2.644250686235306, 2.8722049401853047, 40.0, 12.0, 1117.0
0.6000000000000001, 0.9893711248892826, 0.9654278305963699, 0.9772528433945756, 0.7871907917664812, 0.6381672523073293, 2.644250686235306, 2.8722049401853047, 40.0, 12.0, 1117.0
0.6500000000000001, 0.9893711248892826, 0.9654278305963699, 0.9772528433945756, 0.7871907917664812, 0.6381672523073293, 2.644250686235306, 2.8722049401853047, 40.0, 12.0, 1117.0
0.7000000000000002, 0.9840566873339238, 0.9602420051858254, 0.9720034995625547, 0.7845985465678332, 0.6372358868222664, 2.549058016049893, 2.567957491594801, 46.0, 18.0, 1111.0
0.7500000000000002, 0.9760850310008857, 0.9524632670700086, 0.9641294838145232, 0.7858056578204963, 0.638121890807782, 2.4331446950680777, 2.222148841956004, 55.0, 27.0, 1102.0
0.8000000000000003, 0.9654561558901683, 0.9420916162489196, 0.9536307961504812, 0.7867748970513184, 0.6397293979556901, 2.3103601647564216, 1.888013821470555, 67.0, 39.0, 1090.0
0.8500000000000003, 0.9379982285208148, 0.9152981849611063, 0.9265091863517061, 0.7775008664893216, 0.6334902701376228, 2.1360116987715965, 1.4794465050610075, 98.0, 70.0, 1059.0
0.9000000000000004, 0.8414526129317981, 0.8210890233362144, 0.8311461067366578, 0.7633317566764463, 0.6160162075128099, 1.940612748413311, 1.2058405558170935, 207.0, 179.0, 950.0
0.9500000000000004, 0.38175376439326836, 0.37251512532411407, 0.3770778652668416, 0.6782328477842133, 0.5182612697153682, 1.3316338931526797, 0.6984078088928991, 726.0, 698.0, 431.0
Avg, 0.9044286979627989, 0.8825410544511667, 0.8933508311461067, 0.7725007739455554, 0.6235523932180855, 2.3277823961153206, 2.1550634785533576, --, --, --
Time: 16.631436991003284
