IoU, Prec., Rec., F1, ang. err., std. ang. err., cent. err., std. cent. err. ,F. Neg, F. Pos, T. Pos 
0.5, 0.9836206896551725, 0.986171132238548, 0.9848942598187311, 0.9158624104066686, 0.6499236837086424, 2.3017043510386896, 2.1730526120005456, 16.0, 19.0, 1141.0
0.55, 0.9836206896551725, 0.986171132238548, 0.9848942598187311, 0.9158624104066686, 0.6499236837086424, 2.3017043510386896, 2.1730526120005456, 16.0, 19.0, 1141.0
0.6000000000000001, 0.9827586206896551, 0.9853068280034573, 0.9840310746655158, 0.9164333059922068, 0.6499226453349348, 2.281141969872276, 2.060066007348864, 17.0, 20.0, 1140.0
0.6500000000000001, 0.9827586206896551, 0.9853068280034573, 0.9840310746655158, 0.9164333059922068, 0.6499226453349348, 2.281141969872276, 2.060066007348864, 17.0, 20.0, 1140.0
0.7000000000000002, 0.9810344827586207, 0.9835782195332757, 0.982304704359085, 0.9153981068774434, 0.6500124945322965, 2.2529970293543395, 1.949032711762014, 19.0, 22.0, 1138.0
0.7500000000000002, 0.9775862068965517, 0.9801210025929127, 0.9788519637462234, 0.915511765513379, 0.6510750751249023, 2.1966649759693584, 1.7027120177211217, 23.0, 26.0, 1134.0
0.8000000000000003, 0.9732758620689655, 0.975799481417459, 0.9745360379801468, 0.9155956897919567, 0.6514866763186241, 2.152769709172145, 1.5725978148171367, 28.0, 31.0, 1129.0
0.8500000000000003, 0.9586206896551724, 0.9611063094209161, 0.9598618903754855, 0.9147711571142367, 0.6482123602818306, 2.0602478425267474, 1.3523435786598186, 45.0, 48.0, 1112.0
0.9000000000000004, 0.903448275862069, 0.905790838375108, 0.9046180405697023, 0.9036065163680939, 0.6385458779880221, 1.929266557587186, 1.1505967019430403, 109.0, 112.0, 1048.0
0.9500000000000004, 0.44051724137931036, 0.44165946413137425, 0.44108761329305135, 0.8455651171195243, 0.5701569751699055, 1.3174324805183708, 0.7018444567422928, 646.0, 649.0, 511.0
Avg, 0.9167241379310346, 0.9191011235955058, 0.9179110919292188, 0.9075039785582384, 0.6409182117502736, 2.1075071236950085, 1.689536452034424, --, --, --
Time: 16.42359605700767
